BOTS;Operaciones;fecha;Mes;dia_semana;hora
1;3;01/10/2017;10;7;22
3;11;02/10/2017;10;1;0
2;8;02/10/2017;10;1;1
1;1;02/10/2017;10;1;4
3;6;02/10/2017;10;1;6
4;22;02/10/2017;10;1;7
6;35;02/10/2017;10;1;8
8;76;02/10/2017;10;1;9
8;66;02/10/2017;10;1;10
7;65;02/10/2017;10;1;11
7;78;02/10/2017;10;1;12
7;62;02/10/2017;10;1;13
6;47;02/10/2017;10;1;14
7;49;02/10/2017;10;1;15
7;45;02/10/2017;10;1;16
7;37;02/10/2017;10;1;17
5;50;02/10/2017;10;1;18
4;33;02/10/2017;10;1;19
5;31;02/10/2017;10;1;20
4;18;02/10/2017;10;1;21
1;1;02/10/2017;10;1;23
4;9;03/10/2017;10;2;0
6;24;03/10/2017;10;2;1
3;3;03/10/2017;10;2;2
3;3;03/10/2017;10;2;3
2;3;03/10/2017;10;2;5
5;37;03/10/2017;10;2;6
6;60;03/10/2017;10;2;7
6;48;03/10/2017;10;2;8
7;48;03/10/2017;10;2;9
5;17;03/10/2017;10;2;10
6;31;03/10/2017;10;2;11
6;37;03/10/2017;10;2;12
6;40;03/10/2017;10;2;13
5;31;03/10/2017;10;2;14
5;55;03/10/2017;10;2;15
4;23;03/10/2017;10;2;16
5;34;03/10/2017;10;2;17
2;2;03/10/2017;10;2;18
4;18;03/10/2017;10;2;19
3;9;03/10/2017;10;2;20
3;6;03/10/2017;10;2;21
3;7;03/10/2017;10;2;22
4;17;03/10/2017;10;2;23
4;15;04/10/2017;10;3;0
3;13;04/10/2017;10;3;1
3;3;04/10/2017;10;3;2
4;33;04/10/2017;10;3;3
5;49;04/10/2017;10;3;4
5;45;04/10/2017;10;3;5
5;28;04/10/2017;10;3;6
5;56;04/10/2017;10;3;7
5;51;04/10/2017;10;3;8
5;56;04/10/2017;10;3;9
5;43;04/10/2017;10;3;10
5;32;04/10/2017;10;3;11
6;52;04/10/2017;10;3;12
6;41;04/10/2017;10;3;13
6;52;04/10/2017;10;3;14
6;42;04/10/2017;10;3;15
6;24;04/10/2017;10;3;16
6;36;04/10/2017;10;3;17
6;14;04/10/2017;10;3;18
3;4;04/10/2017;10;3;19
4;18;04/10/2017;10;3;20
1;1;04/10/2017;10;3;21
3;14;04/10/2017;10;3;22
3;15;04/10/2017;10;3;23
1;1;05/10/2017;10;4;0
2;3;05/10/2017;10;4;1
5;9;05/10/2017;10;4;2
6;17;05/10/2017;10;4;3
4;16;05/10/2017;10;4;4
5;27;05/10/2017;10;4;5
6;17;05/10/2017;10;4;6
5;53;05/10/2017;10;4;7
7;44;05/10/2017;10;4;8
7;75;05/10/2017;10;4;9
7;52;05/10/2017;10;4;10
7;36;05/10/2017;10;4;11
7;41;05/10/2017;10;4;12
7;40;05/10/2017;10;4;13
6;27;05/10/2017;10;4;14
7;47;05/10/2017;10;4;15
4;9;05/10/2017;10;4;16
6;21;05/10/2017;10;4;17
6;19;05/10/2017;10;4;18
6;39;05/10/2017;10;4;19
6;22;05/10/2017;10;4;20
5;22;05/10/2017;10;4;21
6;29;05/10/2017;10;4;22
6;25;05/10/2017;10;4;23
6;13;06/10/2017;10;5;0
6;21;06/10/2017;10;5;1
2;2;06/10/2017;10;5;2
5;21;06/10/2017;10;5;3
4;20;06/10/2017;10;5;4
6;24;06/10/2017;10;5;6
5;19;06/10/2017;10;5;7
3;5;06/10/2017;10;5;8
8;31;06/10/2017;10;5;9
5;20;06/10/2017;10;5;10
4;15;06/10/2017;10;5;11
7;23;06/10/2017;10;5;12
6;23;06/10/2017;10;5;13
6;16;06/10/2017;10;5;14
5;7;06/10/2017;10;5;15
3;4;06/10/2017;10;5;16
1;1;06/10/2017;10;5;17
5;20;06/10/2017;10;5;18
4;11;06/10/2017;10;5;19
5;18;08/10/2017;10;7;23
3;11;09/10/2017;10;1;0
3;8;09/10/2017;10;1;3
4;9;09/10/2017;10;1;4
3;5;09/10/2017;10;1;5
5;7;09/10/2017;10;1;6
4;24;09/10/2017;10;1;7
5;20;09/10/2017;10;1;8
7;43;09/10/2017;10;1;9
7;41;09/10/2017;10;1;10
5;49;09/10/2017;10;1;11
7;59;09/10/2017;10;1;12
7;71;09/10/2017;10;1;13
7;52;09/10/2017;10;1;14
6;39;09/10/2017;10;1;15
7;55;09/10/2017;10;1;16
5;50;09/10/2017;10;1;17
7;61;09/10/2017;10;1;18
6;40;09/10/2017;10;1;19
7;59;09/10/2017;10;1;20
7;38;09/10/2017;10;1;21
6;46;09/10/2017;10;1;22
4;27;09/10/2017;10;1;23
1;1;10/10/2017;10;2;0
1;1;10/10/2017;10;2;1
7;27;10/10/2017;10;2;2
7;29;10/10/2017;10;2;3
7;59;10/10/2017;10;2;4
6;25;10/10/2017;10;2;5
7;58;10/10/2017;10;2;6
6;65;10/10/2017;10;2;7
5;50;10/10/2017;10;2;8
6;51;10/10/2017;10;2;9
7;64;10/10/2017;10;2;10
6;55;10/10/2017;10;2;11
6;32;10/10/2017;10;2;12
5;21;10/10/2017;10;2;13
6;18;10/10/2017;10;2;14
6;35;10/10/2017;10;2;15
