IDREGISTRO;FECHA;VEHICULO;INDICE;ESTACION;TEMPERATURA;SOC;TENSION;T1_CONSUMO;T1_DISTANCIA;T1_VELOCIDAD;T2_CONSUMO;T2_DISTANCIA;T2_VELOCIDAD;T3_CONSUMO;T3_DISTANCIA;T3_VELOCIDAD;T4_CONSUMO;T4_DISTANCIA;T4_VELOCIDAD
39056;2017-10-01 22:16:35.203;37;196;3716;-64;14;2529;-671680881;5669843;10;-34112181;358657;0;-143197887;3949428;0;-41612144;432989;0
39057;2017-10-01 22:28:19.330;37;63;3716;42;14;2540;-1884524;27;44;0;0;0;0;0;0;0;0;0
39058;2017-10-02 00:29:33.710;37;63;3716;-75;96;2985;11380;0;0;0;0;0;0;0;0;0;0;0
39059;2017-10-02 00:29:37.817;37;63;3716;-92;96;2925;-3015;0;0;0;0;0;0;0;0;0;0;0
39060;2017-10-02 00:29:41.853;37;63;3716;-102;96;2889;-2909;0;0;0;0;0;0;0;0;0;0;0
39061;2017-10-02 00:29:45.833;37;63;3716;-109;96;2851;-2762;0;0;0;0;0;0;0;0;0;0;0
39062;2017-10-02 00:29:49.853;37;63;3716;-111;96;2830;-2651;0;0;0;0;0;0;0;0;0;0;0
39063;2017-10-02 00:29:54.030;37;63;3716;-122;96;2809;-2654;0;0;0;0;0;0;0;0;0;0;0
39064;2017-10-02 00:29:57.857;37;63;3716;-120;96;2798;-2601;0;0;0;0;0;0;0;0;0;0;0
39065;2017-10-02 00:30:01.787;37;63;3716;-122;96;2788;-2653;0;0;0;0;0;0;0;0;0;0;0
39066;2017-10-02 00:30:05.920;37;63;3716;-122;96;2780;-2647;0;0;0;0;0;0;0;0;0;0;0
39067;2017-10-02 00:30:09.860;37;63;3716;-120;96;2775;-2600;0;0;0;0;0;0;0;0;0;0;0
39068;2017-10-02 00:30:13.767;37;63;3716;-122;96;2771;-2704;0;0;0;0;0;0;0;0;0;0;0
39069;2017-10-02 00:30:17.860;37;63;3716;-119;96;2766;-2651;0;0;0;0;0;0;0;0;0;0;0
39070;2017-10-02 00:30:21.920;37;63;3716;-122;96;2763;-2752;0;0;0;0;0;0;0;0;0;0;0
39071;2017-10-02 00:30:26.060;37;63;3716;-123;96;2759;-2704;0;0;0;0;0;0;0;0;0;0;0
39072;2017-10-02 00:30:29.903;37;63;3716;-119;96;2757;-2701;0;0;0;0;0;0;0;0;0;0;0
39073;2017-10-02 00:30:33.917;37;63;3716;-121;98;2754;-2756;0;0;0;0;0;0;0;0;0;0;0
39074;2017-10-02 00:30:37.890;37;63;3716;-124;99;2752;-2755;0;0;0;0;0;0;0;0;0;0;0
39075;2017-10-02 00:30:41.907;37;63;3716;-121;100;2749;-2702;0;0;0;0;0;0;0;0;0;0;0
39076;2017-10-02 00:30:45.933;37;63;3716;-121;99;2748;-2756;0;0;0;0;0;0;0;0;0;0;0
39077;2017-10-02 00:30:49.903;37;63;3716;-118;100;2745;-2704;0;0;0;0;0;0;0;0;0;0;0
39078;2017-10-02 00:30:53.970;37;63;3716;-121;99;2744;-2753;0;0;0;0;0;0;0;0;0;0;0
39079;2017-10-02 00:30:58.000;37;63;3716;-120;100;2742;-2754;0;0;0;0;0;0;0;0;0;0;0
39080;2017-10-02 00:31:01.943;37;63;3716;-119;100;2741;-2704;0;0;0;0;0;0;0;0;0;0;0
39081;2017-10-02 00:31:05.917;37;63;3716;-122;99;2739;-2735;0;0;0;0;0;0;0;0;0;0;0
39082;2017-10-02 00:31:10.040;37;63;3716;-121;100;2737;-2704;0;0;0;0;0;0;0;0;0;0;0
39083;2017-10-02 00:31:13.563;37;63;3716;-121;100;2736;-2654;0;0;0;0;0;0;0;0;0;0;0
39084;2017-10-02 00:31:17.977;37;63;3716;-121;100;2735;-2808;0;0;0;0;0;0;0;0;0;0;0
39085;2017-10-02 00:31:21.937;37;63;3716;-120;100;2734;-2754;0;0;0;0;0;0;0;0;0;0;0
39086;2017-10-02 00:31:26.077;37;63;3716;-121;100;2732;-2716;0;0;0;0;0;0;0;0;0;0;0
39087;2017-10-02 00:31:30.080;37;63;3716;-123;100;2731;-2756;0;0;0;0;0;0;0;0;0;0;0
39088;2017-10-02 00:31:34.077;37;63;3716;-119;100;2730;-2702;0;0;0;0;0;0;0;0;0;0;0
39089;2017-10-02 00:31:38.850;37;63;3716;-122;100;2729;-2756;0;0;0;0;0;0;0;0;0;0;0
39090;2017-10-02 00:31:42.977;37;63;3716;-122;100;2729;-2756;0;0;0;0;0;0;0;0;0;0;0
39091;2017-10-02 00:31:46.887;37;63;3716;-122;100;2727;-2729;0;0;0;0;0;0;0;0;0;0;0
