IDREGISTRO;FECHA;VEHICULO;INDICE;ESTACION;TEMPERATURA;SOC;TENSION;CONSUMO
48050;2017-10-02 00:29:30.710;37;63;3716;-123;96;3025;912063568
48051;2017-10-02 00:29:34.857;37;63;3716;-75;96;2952;0
48052;2017-10-02 00:29:38.873;37;63;3716;-102;96;2900;0
48053;2017-10-02 00:29:42.870;37;63;3716;-109;96;2869;0
48054;2017-10-02 00:29:46.870;37;63;3716;-111;96;2836;0
48055;2017-10-02 00:29:50.903;37;63;3716;-120;96;2819;0
48056;2017-10-02 00:29:54.913;37;63;3716;-122;96;2802;0
48057;2017-10-02 00:29:58.877;37;63;3716;-120;96;2793;0
48058;2017-10-02 00:30:02.970;37;63;3716;-122;96;2783;0
48059;2017-10-02 00:30:06.923;37;63;3716;-120;96;2778;0
48060;2017-10-02 00:30:10.890;37;63;3716;-122;96;2772;0
48061;2017-10-02 00:30:14.893;37;63;3716;-123;96;2768;0
48062;2017-10-02 00:30:18.953;37;63;3716;-119;96;2764;0
48063;2017-10-02 00:30:22.947;37;63;3716;-122;96;2761;0
48064;2017-10-02 00:30:26.947;37;63;3716;-119;96;2757;0
48065;2017-10-02 00:30:30.933;37;63;3716;-121;96;2755;0
48066;2017-10-02 00:30:34.880;37;63;3716;-124;100;2752;0
48067;2017-10-02 00:30:38.993;37;63;3716;-118;100;2750;0
48068;2017-10-02 00:30:42.947;37;63;3716;-121;100;2748;0
48069;2017-10-02 00:30:46.983;37;63;3716;-121;100;2746;0
48070;2017-10-02 00:30:50.950;37;63;3716;-121;100;2744;0
48071;2017-10-02 00:30:54.963;37;63;3716;-120;100;2743;0
48072;2017-10-02 00:30:58.947;37;63;3716;-119;100;2741;0
48073;2017-10-02 00:31:02.993;37;63;3716;-118;100;2740;0
48074;2017-10-02 00:31:06.997;37;63;3716;-122;100;2738;0
48075;2017-10-02 00:31:10.987;37;63;3716;-121;100;2737;0
48076;2017-10-02 00:31:15.020;37;63;3716;-121;100;2735;0
48077;2017-10-02 00:31:19.143;37;63;3716;-120;100;2734;0
48078;2017-10-02 00:31:23.150;37;63;3716;-118;100;2733;0
48079;2017-10-02 00:31:27.193;37;63;3716;-121;100;2732;0
48080;2017-10-02 00:31:30.977;37;63;3716;-123;100;2731;0
48081;2017-10-02 00:31:35.840;37;63;3716;-122;100;2730;0
48082;2017-10-02 00:31:40.017;37;63;3716;-122;100;2729;0
48083;2017-10-02 00:31:44.053;37;63;3716;-120;100;2728;0
48084;2017-10-02 00:31:48.027;37;63;3716;-122;100;2727;0
48085;2017-10-02 00:31:52.017;37;63;3716;-122;100;2726;0
48086;2017-10-02 00:31:56.017;37;63;3716;-123;100;2725;0
48087;2017-10-02 00:32:01.037;37;63;3716;-124;100;2724;0
48088;2017-10-02 00:32:05.007;37;63;3716;-120;100;2723;0
48089;2017-10-02 00:32:09.010;37;63;3716;-119;100;2723;0
48090;2017-10-02 00:32:14.067;37;63;3716;-121;100;2722;0
48091;2017-10-02 00:32:18.110;37;63;3716;-120;100;2721;0
48092;2017-10-02 00:32:22.510;37;63;3716;-125;99;2720;0
48093;2017-10-02 00:32:26.030;37;63;3716;-120;99;2720;0
48094;2017-10-02 00:32:30.060;37;63;3716;-127;99;2719;0
48095;2017-10-02 00:32:34.137;37;63;3716;-121;99;2719;0
48096;2017-10-02 00:32:38.027;37;63;3716;-120;99;2718;0
48097;2017-10-02 00:32:42.120;37;63;3716;-127;99;2718;0
48098;2017-10-02 00:32:46.040;37;63;3716;-122;99;2717;0
48099;2017-10-02 00:32:50.080;37;63;3716;-121;99;2717;0
48100;2017-10-02 00:32:54.103;37;63;3716;-124;99;2716;0
48101;2017-10-02 00:32:58.083;37;63;3716;-121;99;2716;0
48102;2017-10-02 00:33:02.120;37;63;3716;-125;99;2715;0
48103;2017-10-02 00:33:07.097;37;63;3716;-126;99;2715;0
48104;2017-10-02 00:33:11.107;37;63;3716;-121;99;2714;0
48105;2017-10-02 00:33:15.137;37;63;3716;-125;99;2714;0
48106;2017-10-02 00:33:20.100;37;63;3716;-122;99;2713;0
48107;2017-10-02 00:33:24.100;37;63;3716;-123;99;2713;0
48108;2017-10-02 00:33:28.127;37;63;3716;-125;99;2713;0
48109;2017-10-02 00:33:32.127;37;63;3716;-122;99;2712;0
48110;2017-10-02 00:33:36.103;37;63;3716;-125;99;2712;0
48111;2017-10-02 00:33:40.120;37;63;3716;-123;99;2711;0
48112;2017-10-02 00:33:45.157;37;63;3716;-122;99;2711;0
48113;2017-10-02 00:33:49.147;37;63;3716;-122;99;2710;0
48114;2017-10-02 00:33:53.127;37;63;3716;-122;99;2710;0
48115;2017-10-02 00:33:57.153;37;63;3716;-128;99;2710;0
48116;2017-10-02 00:34:01.160;37;63;3716;-123;99;2709;0
48117;2017-10-02 00:34:06.170;37;63;3716;-127;99;2709;0
48118;2017-10-02 00:34:10.173;37;63;3716;-125;99;2709;0
48119;2017-10-02 00:34:14.157;37;63;3716;-122;99;2709;0
48120;2017-10-02 00:34:18.150;37;63;3716;127;99;2708;0
