vehiculo;soc;Entradas;fecha;Mes;dia_semana;hora
37;14;2;01/10/2017;10;7;22
37;96;15;02/10/2017;10;1;0
37;98;1;02/10/2017;10;1;0
37;99;401;02/10/2017;10;1;0
37;100;17;02/10/2017;10;1;0
41;33;1;02/10/2017;10;1;0
37;99;877;02/10/2017;10;1;1
37;98;557;02/10/2017;10;1;2
37;99;322;02/10/2017;10;1;2
37;97;668;02/10/2017;10;1;3
37;98;209;02/10/2017;10;1;3
37;96;437;02/10/2017;10;1;4
37;97;435;02/10/2017;10;1;4
40;34;1;02/10/2017;10;1;4
37;95;586;02/10/2017;10;1;5
37;96;294;02/10/2017;10;1;5
32;30;1;02/10/2017;10;1;6
35;34;3;02/10/2017;10;1;6
37;94;1;02/10/2017;10;1;6
37;95;482;02/10/2017;10;1;6
32;29;2;02/10/2017;10;1;7
33;47;1;02/10/2017;10;1;7
32;28;1;02/10/2017;10;1;8
33;34;2;02/10/2017;10;1;11
35;79;1;02/10/2017;10;1;12
32;34;2;02/10/2017;10;1;17
37;33;10;02/10/2017;10;1;17
37;33;3;02/10/2017;10;1;18
38;33;4;02/10/2017;10;1;18
40;34;1;02/10/2017;10;1;18
41;33;1;02/10/2017;10;1;18
38;0;1;02/10/2017;10;1;19
38;33;9;02/10/2017;10;1;19
41;33;1;02/10/2017;10;1;19
33;33;2;03/10/2017;10;2;3
40;33;1;03/10/2017;10;2;6
35;34;3;03/10/2017;10;2;9
32;34;1;03/10/2017;10;2;13
32;34;1;03/10/2017;10;2;14
32;34;2;03/10/2017;10;2;16
38;33;10;03/10/2017;10;2;16
41;34;4;03/10/2017;10;2;16
33;34;5;03/10/2017;10;2;19
33;88;1;03/10/2017;10;2;20
40;34;1;03/10/2017;10;2;21
41;34;1;03/10/2017;10;2;22
35;34;4;04/10/2017;10;3;0
35;86;1;04/10/2017;10;3;3
33;81;1;04/10/2017;10;3;4
32;34;1;04/10/2017;10;3;7
38;33;7;04/10/2017;10;3;9
40;34;1;04/10/2017;10;3;9
38;33;2;04/10/2017;10;3;10
40;76;1;04/10/2017;10;3;10
41;34;1;04/10/2017;10;3;10
35;34;2;04/10/2017;10;3;11
37;33;2;04/10/2017;10;3;11
33;34;2;04/10/2017;10;3;12
32;34;1;04/10/2017;10;3;20
35;75;1;05/10/2017;10;4;1
37;30;5;05/10/2017;10;4;2
37;30;1;05/10/2017;10;4;3
38;34;4;05/10/2017;10;4;3
41;34;1;05/10/2017;10;4;3
40;33;1;05/10/2017;10;4;6
33;33;2;05/10/2017;10;4;7
32;39;1;05/10/2017;10;4;12
32;34;2;05/10/2017;10;4;13
35;34;1;05/10/2017;10;4;15
37;34;2;05/10/2017;10;4;18
37;34;6;05/10/2017;10;4;19
41;34;1;05/10/2017;10;4;19
33;33;2;05/10/2017;10;4;20
38;34;1;05/10/2017;10;4;20
37;99;1;05/10/2017;10;4;21
40;34;1;05/10/2017;10;4;21
33;33;2;05/10/2017;10;4;22
32;34;2;06/10/2017;10;5;7
35;33;1;06/10/2017;10;5;9
38;34;1;06/10/2017;10;5;12
40;31;1;06/10/2017;10;5;22
40;31;1;06/10/2017;10;5;23
37;33;1;08/10/2017;10;7;23
41;33;1;08/10/2017;10;7;23
37;33;1;09/10/2017;10;1;2
35;34;1;09/10/2017;10;1;8
32;34;2;09/10/2017;10;1;10
33;33;2;09/10/2017;10;1;10
32;99;1;09/10/2017;10;1;12
33;88;1;09/10/2017;10;1;12
38;33;1;09/10/2017;10;1;12
40;34;1;09/10/2017;10;1;14
37;34;1;09/10/2017;10;1;16
41;34;1;09/10/2017;10;1;16
35;34;1;09/10/2017;10;1;18
33;33;3;09/10/2017;10;1;21
32;33;3;09/10/2017;10;1;22
38;33;1;10/10/2017;10;2;2
35;34;1;10/10/2017;10;2;7
40;34;1;10/10/2017;10;2;7
41;34;1;10/10/2017;10;2;8
37;33;2;10/10/2017;10;2;9
33;33;3;10/10/2017;10;2;10
32;34;2;10/10/2017;10;2;11
33;88;1;10/10/2017;10;2;13
38;33;1;10/10/2017;10;2;13
35;33;1;10/10/2017;10;2;21
37;34;3;11/10/2017;10;3;2
32;34;1;11/10/2017;10;3;3
37;34;2;11/10/2017;10;3;3
40;34;1;11/10/2017;10;3;4
41;34;1;11/10/2017;10;3;4
33;33;2;11/10/2017;10;3;5
38;34;1;11/10/2017;10;3;9
38;64;1;11/10/2017;10;3;9
35;33;1;11/10/2017;10;3;14
32;34;2;11/10/2017;10;3;15
41;34;1;11/10/2017;10;3;19
33;33;4;11/10/2017;10;3;20
33;33;3;11/10/2017;10;3;21
37;34;6;11/10/2017;10;3;21
38;34;1;12/10/2017;10;4;23
33;34;3;13/10/2017;10;5;7
32;34;3;13/10/2017;10;5;8
40;33;1;13/10/2017;10;5;9
32;34;1;13/10/2017;10;5;10
33;87;1;13/10/2017;10;5;10
35;34;1;13/10/2017;10;5;10
32;88;1;13/10/2017;10;5;11
33;88;1;13/10/2017;10;5;11
37;34;1;13/10/2017;10;5;12
32;87;1;13/10/2017;10;5;13
33;86;1;13/10/2017;10;5;13
33;87;1;13/10/2017;10;5;13
37;34;1;13/10/2017;10;5;13
38;34;1;13/10/2017;10;5;13
41;34;1;13/10/2017;10;5;14
33;84;1;13/10/2017;10;5;17
33;99;1;13/10/2017;10;5;17
37;86;1;13/10/2017;10;5;17
38;58;1;14/10/2017;10;6;18
40;15;2;16/10/2017;10;1;4
40;16;1;16/10/2017;10;1;4
41;26;1;16/10/2017;10;1;4
33;34;1;16/10/2017;10;1;6
33;96;1;16/10/2017;10;1;7
33;97;1;16/10/2017;10;1;7
35;34;1;16/10/2017;10;1;7
32;34;2;16/10/2017;10;1;9
37;33;1;16/10/2017;10;1;11
38;34;5;16/10/2017;10;1;11
37;33;6;16/10/2017;10;1;12
37;62;1;16/10/2017;10;1;12
37;61;1;16/10/2017;10;1;13
37;84;1;16/10/2017;10;1;13
37;86;1;16/10/2017;10;1;13
41;34;1;16/10/2017;10;1;16
40;34;1;16/10/2017;10;1;18
35;34;1;16/10/2017;10;1;19
33;34;4;16/10/2017;10;1;20
32;34;1;16/10/2017;10;1;22
38;34;6;16/10/2017;10;1;23
37;33;1;17/10/2017;10;2;3
37;33;1;17/10/2017;10;2;7
37;87;1;17/10/2017;10;2;9
35;34;1;17/10/2017;10;2;10
37;87;1;17/10/2017;10;2;10
37;88;1;17/10/2017;10;2;10
37;88;2;17/10/2017;10;2;11
32;34;1;17/10/2017;10;2;12
