VEHICULO;FECHA_ENTRADA;FECHA_SALIDA;dif_minutos;DISTANCIA_TOTAL;consumo_TOTAL;SOC_ENTRADA;SOC_SALIDA;DIF_SOC;N_Ordenes
37;2017-10-02 00:30:53.970;2017-10-02 00:30:50.950;0;0;-2753;99;100;1;0
37;2017-10-02 00:32:07.990;2017-10-02 00:32:05.007;0;0;-2661;99;100;1;0
41;2017-10-02 00:44:59.453;2017-09-29 11:25:39.070;3679;3612040;-634717219;33;96;63;20
37;2017-10-02 05:20:05.520;2017-10-02 05:20:02.707;0;0;-2650;95;96;1;0
35;2017-10-02 06:24:51.960;2017-09-29 16:41:51.233;3703;3064350;-624293501;34;99;65;15
32;2017-10-02 06:48:24.237;2017-09-29 12:10:18.813;3998;4323065;-701479972;30;95;65;25
33;2017-10-02 11:05:49.507;2017-09-29 07:18:47.913;4547;4660807;-191354262;34;99;65;94
32;2017-10-02 17:31:39.857;2017-10-02 09:29:16.850;482;-37;-1622800;34;80;46;69
37;2017-10-02 17:46:18.717;2017-10-02 06:33:29.213;673;-31;-239014;33;95;62;94
33;2017-10-03 03:42:29.833;2017-10-02 12:23:56.133;919;418;-705094;33;95;62;84
32;2017-10-03 13:10:34.037;2017-10-02 18:57:28.083;1093;2481997;-110573634;34;97;63;80
32;2017-10-03 14:48:40.367;2017-10-02 18:57:28.083;1191;2521;-15160314;34;97;63;80
38;2017-10-03 16:16:22.753;2017-10-02 20:34:07.100;1182;65503;-231043;33;97;64;80
38;2017-10-03 16:32:07.340;2017-10-02 20:34:07.100;1198;132043;-3602232;33;97;64;80
33;2017-10-03 19:17:55.390;2017-10-03 05:06:59.460;851;1552;-604777;34;98;64;92
33;2017-10-03 19:28:31.553;2017-10-03 05:06:59.460;862;345;-1526288;34;98;64;92
40;2017-10-03 21:53:29.463;2017-10-03 07:32:49.460;861;9297637;-433671208;34;96;62;80
35;2017-10-04 00:13:36.667;2017-10-03 10:52:18.023;801;586903;-27113127;34;89;55;65
35;2017-10-04 00:20:10.687;2017-10-03 10:52:18.023;808;-27;-1533994;34;89;55;65
35;2017-10-04 00:31:55.320;2017-10-03 10:52:18.023;819;12877;-1657054;34;89;55;65
40;2017-10-04 09:30:01.640;2017-10-03 22:58:12.567;632;8018415;-339437284;34;89;55;82
38;2017-10-04 09:36:10.020;2017-10-02 20:34:07.100;2222;-10;-376197;33;97;64;80
38;2017-10-04 10:16:50.757;2017-10-02 20:34:07.100;2262;88818;-2028015;33;97;64;80
41;2017-10-04 10:57:09.960;2017-10-03 23:40:09.063;677;14007271;-590513462;34;89;55;92
