VEHICULO;VEHICULO;FECHA_ENTRADA;FECHA_SALIDA;MINUTOS;SOC_ENTRADA;SOC_SALIDA;DIF_SOC;MEDIA
31;31;2018-05-15 13:42:32.933;2018-05-15 13:59:34.010;17;34;39;5;0,294117647
34;34;2018-03-05 15:44:59.367;2018-03-05 16:09:59.790;25;33;48;15;0,6
31;31;2018-09-17 12:35:22.110;2018-09-17 13:05:18.020;30;33;42;9;0,3
31;31;2018-09-23 22:30:55.190;2018-09-23 22:41:25.603;11;32;35;3;0,272727273
31;31;2018-05-31 14:57:51.643;2018-05-31 15:23:57.843;26;34;35;1;0,038461538
35;35;2017-11-08 11:30:39.817;2017-11-08 11:59:46.407;29;33;58;25;0,862068966
34;34;2018-03-05 15:43:49.970;2018-03-05 16:09:59.790;26;33;48;15;0,576923077
31;31;2018-08-16 06:16:31.727;2018-08-16 06:44:47.517;28;34;48;14;0,5
31;31;2018-08-16 06:17:32.140;2018-08-16 06:44:47.517;27;34;48;14;0,518518519
32;32;2018-07-23 08:00:00.647;2018-07-23 08:15:58.080;15;34;40;6;0,4
34;34;2018-05-26 11:44:56.490;2018-05-26 11:46:46.167;2;35;36;1;0,5
35;35;2018-06-28 08:50:14.327;2018-06-28 09:14:02.587;24;34;52;18;0,75
34;34;2018-05-26 11:24:59.757;2018-05-26 11:43:33.530;19;33;35;2;0,105263158
32;32;2018-09-07 15:34:28.457;2018-09-07 15:40:07.833;6;33;34;1;0,166666667
32;32;2018-07-31 09:02:51.507;2018-07-31 09:28:57.587;26;33;53;20;0,769230769
35;35;2018-08-29 12:16:23.260;2018-08-29 12:23:00.673;7;33;37;4;0,571428571
35;35;2018-08-31 11:49:06.560;2018-08-31 12:17:47.310;28;33;49;16;0,571428571
32;32;2018-06-21 07:45:26.883;2018-06-21 08:05:12.773;20;34;46;12;0,6
34;34;2018-08-03 05:59:08.150;2018-08-03 06:29:48.330;30;33;54;21;0,7
35;35;2018-09-06 15:01:08.570;2018-09-06 15:21:10.530;20;33;39;6;0,3
34;34;2018-06-21 13:09:49.530;2018-06-21 13:39:04.343;30;33;48;15;0,5
35;35;2018-08-29 12:16:07.840;2018-08-29 12:23:00.673;7;33;37;4;0,571428571
32;32;2018-01-08 09:16:27.353;2018-01-08 09:45:01.093;29;33;44;11;0,379310345
32;32;2018-05-04 20:26:40.700;2018-05-04 20:51:59.130;25;34;50;16;0,64
34;34;2018-08-31 10:56:36.850;2018-08-31 11:19:25.193;23;34;51;17;0,739130435
32;32;2018-08-03 04:56:28.137;2018-08-03 05:16:16.277;20;32;47;15;0,75
34;34;2018-07-18 12:04:13.420;2018-07-18 12:11:19.260;7;34;35;1;0,142857143
32;32;2017-12-18 11:00:22.083;2017-12-18 11:17:18.953;17;34;39;5;0,294117647
32;32;2018-03-07 09:27:48.703;2018-03-07 09:34:40.180;7;43;44;1;0,142857143
32;32;2018-03-07 09:29:03.120;2018-03-07 09:34:40.180;5;43;44;1;0,2
36;36;2018-09-20 07:01:25.097;2018-09-20 07:23:39.070;22;34;44;10;0,454545455
36;36;2018-09-22 11:30:32.390;2018-09-22 11:46:02.277;16;32;33;1;0,0625
36;36;2018-09-22 11:31:41.967;2018-09-22 11:46:02.277;15;32;33;1;0,066666667
32;32;2018-01-29 12:48:43.107;2018-01-29 13:07:30.587;19;34;40;6;0,315789474
36;36;2018-07-13 05:15:24.593;2018-07-13 05:45:32.753;30;34;42;8;0,266666667
37;37;2018-09-25 09:43:35.057;2018-09-25 10:06:13.440;23;34;44;10;0,434782609
36;36;2018-09-18 10:01:05.680;2018-09-18 10:23:34.497;22;17;26;9;0,409090909
36;36;2018-08-15 22:05:25.157;2018-08-15 22:27:51.297;22;33;39;6;0,272727273
43;43;2018-08-07 12:03:58.133;2018-08-07 12:11:47.180;8;33;34;1;0,125
43;43;2018-05-14 21:07:03.253;2018-05-14 21:26:09.867;19;34;40;6;0,315789474
37;37;2017-11-15 09:35:48.740;2017-11-15 09:55:42.383;20;34;47;13;0,65
37;37;2017-11-15 09:37:23.513;2017-11-15 09:55:42.383;18;34;47;13;0,722222222
38;38;2018-04-11 11:00:10.110;2018-04-11 11:17:05.560;17;33;37;4;0,235294118
38;38;2018-07-06 12:40:20.600;2018-07-06 13:07:59.010;27;34;46;12;0,444444444
39;39;2018-09-25 16:39:57.293;2018-09-25 16:58:55.690;19;34;43;9;0,473684211
39;39;2018-08-16 06:26:58.363;2018-08-16 06:42:05.693;16;34;36;2;0,125
39;39;2018-08-07 16:07:19.470;2018-08-07 16:32:58.243;25;33;45;12;0,48
39;39;2018-05-03 07:35:43.983;2018-05-03 07:51:51.437;16;33;42;9;0,5625
40;40;2017-10-19 07:37:40.173;2017-10-19 08:03:48.227;26;33;54;21;0,807692308
40;40;2018-07-24 09:08:54.237;2018-07-24 09:35:43.587;27;19;32;13;0,481481481
40;40;2018-07-25 08:03:29.293;2018-07-25 08:22:19.870;19;33;40;7;0,368421053
40;40;2018-08-07 16:13:33.557;2018-08-07 16:33:06.317;20;43;57;14;0,7
40;40;2018-09-09 23:17:38.340;2018-09-09 23:26:39.240;9;48;54;6;0,666666667
41;41;2018-09-18 14:46:02.570;2018-09-18 15:09:19.307;23;34;50;16;0,695652174
41;41;2018-08-14 12:30:09.073;2018-08-14 12:55:31.880;25;32;45;13;0,52
40;40;2018-09-19 10:52:08.667;2018-09-19 11:20:48.130;28;34;52;18;0,642857143
41;41;2018-09-24 21:45:06.077;2018-09-24 21:55:50.680;10;34;35;1;0,1
41;41;2018-08-16 11:07:42.010;2018-08-16 11:32:06.697;25;34;51;17;0,68
41;41;2018-06-25 09:36:03.477;2018-06-25 09:47:52.253;11;33;35;2;0,181818182
40;40;2018-09-18 09:53:01.503;2018-09-18 10:20:02.817;27;34;50;16;0,592592593
41;41;2018-08-14 12:27:57.150;2018-08-14 12:55:31.880;28;32;45;13;0,464285714
41;41;2017-10-03 16:12:51.043;2017-10-03 16:37:14.373;25;34;51;17;0,68
41;41;2017-10-31 14:51:41.720;2017-10-31 15:18:05.893;27;33;51;18;0,666666667
33;33;2018-09-03 12:02:26.750;2018-09-03 12:31:45.200;29;34;56;22;0,75862069
41;41;2017-10-03 16:18:26.810;2017-10-03 16:37:14.373;19;34;51;17;0,894736842
33;33;2018-09-11 03:32:35.323;2018-09-11 03:52:39.440;20;34;46;12;0,6
42;42;2017-11-16 10:27:10.337;2017-11-16 10:39:52.637;12;34;37;3;0,25
42;42;2017-11-24 09:45:36.613;2017-11-24 10:05:22.507;20;34;46;12;0,6
33;33;2018-09-03 12:03:06.640;2018-09-03 12:31:45.200;28;34;56;22;0,785714286
42;42;2017-11-24 09:44:07.963;2017-11-24 10:05:22.507;21;34;46;12;0,571428571
42;42;2017-11-24 10:09:19.220;2017-11-24 10:10:47.530;1;46;47;1;1
42;42;2017-11-23 10:10:46.800;2017-11-23 10:21:28.270;11;34;38;4;0,363636364
42;42;2018-02-01 23:18:01.527;2018-02-01 23:38:12.287;20;41;45;4;0,2
44;44;2018-08-16 11:59:36.443;2018-08-16 12:21:35.513;22;33;48;15;0,681818182
